name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
0cd20,Not known,average_data,average_data,Fri May 13 12:23:08 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,0.000366,0.00010194769332899306,0.023565,0.0006741292881382366,42.435815828559306,1.0,0,7.495947,0.49713337370986277,1.0,0
19e3e,Not known,average_data,average_data,Fri May 13 12:23:26 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.000461,0.0003486235502741325,0.026893,0.0006907193115755927,37.184397426839695,1.0,0,54.94021,5.450168360982221,1.0,0
34a6d,Not known,average_data,average_data,Fri May 13 12:23:49 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.000489,0.00040885922067500336,0.025562,0.0007336845953896667,39.12056959549331,1.0,0,67.188137,7.759302752932398,1.0,0
484af,Not known,average_data,average_data,Fri May 13 12:22:14 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,4.191822589350025e-05,3.824991486910311e-05,0.023857308398554634,0.0003045762000790552,41.915876816203784,1.0,0,5.760917931342493,0.16065432448428138,1.0,0
714af,Not known,average_data,average_data,Fri May 13 12:22:14 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,5.310879587661077e-05,2.1881626212226384e-05,0.02458509914407597,0.0002118706349947417,40.67504442994936,1.0,0,4.44149600799971,0.0790920608938686,1.0,0
34766,Not known,average_data,average_data,Fri May 13 12:24:12 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002019,0.0005679193558477633,0.025226,0.0007082196550800654,39.64163957821296,1.0,0,170.290049,21.415879872153376,1.0,0
c1204,Not known,average_data,average_data,Fri May 13 12:22:14 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.003153,0.0006436599588927816,0.025916,0.0007296365398371963,38.58620157431702,1.0,0,242.430142,30.56536730673394,1.0,0
fe81d,Not known,average_data,average_data,Fri May 13 12:22:14 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-5.8e-05,1.066462365745744e-05,0.024913,0.00010637031369281748,40.13968610765463,1.0,0,4.276672,0.03743399270551254,1.0,0
ff67b,Not known,average_data,average_data,Fri May 13 12:22:14 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,0.000746,0.00016429737822405455,0.022702,0.0010308706219849502,44.04898246850498,1.0,0,8.095563,0.8677278497577495,1.0,0
dirty,Not known,average_data,average_data,Fri May 13 12:22:14 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.015419,0.002063063558342877,0.171773,0.0022511648733649827,5.821636694940415,1.0,0,287.867353,16.74651099728496,1.0,0
