name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2)
clean,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,3.1e-05,None,0.074235,None,13.4707348285849,0.360108,None,0.639892,None,0.009468,None,0.069798,None,1.0,None,1.0,None,5.0,None,5.0,None
0cd20,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,2.2505230868996584e-05,None,0.07423157802785615,None,13.471355810659714,0.34354978035149575,None,0.6564502196485043,None,0.008915693691906413,None,0.06747394730865433,None,1.0,None,1.0,None,5.0,None,5.0,None
19e3e,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,7.282757150206542e-05,None,0.07423031692900231,None,13.471584675523498,0.35377101113309795,None,0.646228988866902,None,0.009249016543880011,None,0.06888112424188275,None,1.0,None,1.0,None,5.0,None,5.0,None
34a6d,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,3.487539660040895e-05,None,0.07423817046246044,None,13.47015953882732,0.359036184510341,None,0.640963815489659,None,0.009421626503457072,None,0.06963886509791538,None,1.0,None,1.0,None,5.0,None,5.0,None
484af,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-4.3441626680351675e-05,None,0.07420768985311936,None,13.475692370687167,0.37746460316961317,None,0.6225353968303868,None,0.010064459268308608,None,0.07224148940208441,None,1.0,None,1.0,None,5.0,None,5.0,None
714af,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-3.6860340656197366e-05,None,0.07420951592907694,None,13.475360773889346,0.37541002240583116,None,0.6245899775941688,None,0.009995597234013007,None,0.0719403287597303,None,1.0,None,1.0,None,5.0,None,5.0,None
34766,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,9.601099224521015e-05,None,0.07636984731774424,None,13.094173094773936,0.1829256274249904,None,0.8170743725750096,None,0.0014265786074703277,None,0.04204582758313167,None,1.0,None,1.0,None,5.0,None,5.0,None
c1204,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0003296275926830683,None,0.1133018519741985,None,8.825981063643368,0.43908543834370345,None,0.5609145616562965,None,0.00010000000122124526,None,0.031408578155794155,None,1.0,None,1.0,None,5.0,None,5.0,None
fe81d,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-2.956310967150433e-05,None,0.0742124267118951,None,13.474832239109567,0.37417962735638743,None,0.6258203726436126,None,0.009951424243957653,None,0.07176703902395193,None,1.0,None,1.0,None,5.0,None,5.0,None
ff67b,Not known,average_data,average_data,Mon May 30 14:10:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-2.9320539801203083e-05,None,0.074210233393835,None,13.475230494061142,0.37387564707951176,None,0.6261243529204883,None,0.009942672280796967,None,0.07172943638261067,None,1.0,None,1.0,None,5.0,None,5.0,None
