name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1)
dirty,Not known,average_data,average_data,Mon Feb 20 15:31:55 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.008909,0.0018627265281690201,1.204623,0.003511124416964986,0.8301352373315137,1.0,0,0.522585,0.011736594754405765,1.0,0,6.0,0,0.220906,0.0063314785620636575,0.04,0
0cd20,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0017849346524688725,0.0015588870643025539,0.9736395328863313,0.0030762331444525127,1.0270741544722652,1.0,0,0.32590784241122817,0.009118372871528693,1.0,0,6.0,0,0.204156686916368,0.009028089541056637,0.04,0
19e3e,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005886451393283476,0.0010371432039349077,0.45333967876723125,0.0020864004237808906,2.205851477018965,1.0,0,0.23741318112237156,0.01331828221919873,1.0,0,6.0,0,0.30271010389798514,0.017037931935512132,0.04,0
34a6d,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00273289861899928,0.0012876057663285677,0.23603315498493335,0.0021485150938161867,4.2366929343626865,1.0,0,1.617844577227695,0.2407667037896638,1.0,0,6.0,0,0.6962735348335358,0.01122750734797657,0.04,0
484af,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006550324410954156,0.0010941556154721729,0.48398374177189823,0.0021999058731933226,2.066185108489244,1.0,0,0.24331078626339186,0.013004834801323417,1.0,0,6.0,0,0.29100847786861506,0.016405566621245666,0.04,0
714af,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00711762824209472,0.001244636638397606,0.4549749761599313,0.0023890713655667943,2.1979230779683214,1.0,0,0.37402540630753583,0.0231939564314918,1.0,0,6.0,0,0.4032137172483852,0.013888321727228712,0.04,0
34766,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002494987348056421,0.0012152432884760106,0.24690038119898994,0.0020963048415665103,4.050216508957302,1.0,0,1.120681250771862,0.1407230001235645,1.0,0,6.0,0,0.6413652950550408,0.012183154611062745,0.04,0
c1204,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.002785689488816745,0.001265507052430081,0.1645958010017924,0.001830819848322272,6.075489131032633,1.0,0,7.595109113083063,1.7105392220246716,1.0,0,6.0,0,0.7981721278228493,0.009307302191904615,0.04,0
fe81d,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006382489260986057,0.0011591381459315601,0.5817229514613255,0.0023439389281995396,1.7190313661992116,1.0,0,0.24034041332896605,0.010606407771269198,1.0,0,6.0,0,0.24733270789439876,0.01451510231625246,0.04,0
ff67b,Not known,average_data,average_data,Mon Feb 20 15:31:56 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006417889950214972,0.0012309350775131674,0.6512260912156106,0.0024458230729657356,1.535565011121331,1.0,0,0.283852515116278,0.011354919020459209,1.0,0,6.0,0,0.2806853962458167,0.011927788984809855,0.04,0
